,감각,감수성,강인,개념,개방,개인,객관,결단력,결백,결정,겸손,경험,계획,고문,고집,공감,공상,공정,공평,과묵,관계,관대,관리,관용,관찰,관찰력,교감,구사력,구조,구체,규칙,긍정,기술,기억력,기준,끈기,내면,내성,내향,냉정,논리,논리력,논쟁,눈치,느낌,단정,대담,대화,도전,독려,독립,독창,동정,동정심,리더십,마음,말수,매력,명랑,모험심,반응,반향,배려,배우,변화,보호,봉사,분석,분석가,분석력,분위기,비관,비전,비판,비평,사고,사고력,사교,사명,사명감,사색,사실,사악,사회,상가,상상,상상력,생각,생기,설득,설득력,성실,성찰,성취,수완,수용,시각,시인,신뢰,신뢰감,신비,신중,실용,실제,실험,아이디어,안목,안정,양심,언변,언어,에너지,역사,연민,열정,염려,영리,예리,예술,완벽,용기,운동가,원리,원칙,위풍,유능,융통,은유,음악,응용,의무,의문,의사소통,의지,이론,이상,이성,이타,이해,인간애,인내,인내력,인내심,인정,인지,자기,자기표현,자발,자부심,자신감,자애,자연,자유,작가,재능,재치,적응,적응력,전념,전략,전문,전문가,전체,전통,정리,정서,정신,정중,정직,조심,조율,조직,조화,중심,즉흥,즐거움,지성,지식,지휘,직관,진심,진취,질문,창의,창의력,창의성,책임,책임감,청렴,체계,초연,추진,추진력,충신,충실,친밀,친절,카리스마,타인,타협,탐구,탐구심,탐색,토론,통솔,통솔력,통찰,통찰력,투영,판단,판단력,편리,평등,평화,포괄,표현,표현력,품위,합리,행동,헌신,혁신,현실,협력,협조,호기심,호자,화합,활동,효율,희열
ENFJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146145276,0,0,0,0,0,0,0,0,0,0,0.163327445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187544353,0,0,0,0,0.13281775,0,0,0,0,0,0,0,0,0,0.163327445,0,0,0.13281775,0.13281775,0.13281775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112721528,0,0,0,0,0,0,0.187544353,0,0,0,0,0,0,0,0.146145276,0.146145276,0,0,0,0,0,0,0,0,0,0.163327445,0.187544353,0,0,0,0.292290552,0.187544353,0,0,0,0,0,0.187544353,0,0,0,0,0,0,0,0,0,0,0.187544353,0,0,0.146145276,0.121928369,0.13281775,0,0,0,0,0,0,0,0,0,0,0.163327445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163327445,0,0,0.13281775,0,0,0,0,0,0,0,0,0,0,0.121928369,0,0,0,0,0,0,0.187544353,0.121928369,0,0,0,0,0,0.187544353,0,0.13281775,0,0.163327445,0.163327445,0,0,0,0,0,0,0,0,0,0.187544353,0,0,0,0,0,0,0.163327445,0.163327445,0.187544353,0,0,0,0,0,0,0,0,0,0.187544353,0.146145276,0,0
ENFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164481886,0,0,0,0,0,0.211075237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117888535,0,0,0,0,0,0,0.211075237,0,0,0,0,0,0,0,0,0,0,0,0,0.211075237,0,0,0,0,0,0,0.149482177,0,0,0,0,0,0.126864515,0,0.126864515,0.137226523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211075237,0,0,0,0,0,0,0,0,0,0,0.211075237,0,0,0.164481886,0,0,0,0,0,0.211075237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211075237,0,0,0,0.164481886,0,0,0,0.149482177,0,0,0,0,0.137226523,0,0,0,0,0,0,0,0,0.183819874,0,0,0,0.183819874,0,0,0,0,0,0,0,0,0,0.183819874,0,0,0,0,0,0.164481886,0,0.117888535,0.126864515,0.117888535,0,0,0,0,0,0,0,0,0,0.149482177,0,0,0,0,0,0,0,0,0,0,0.149482177,0.149482177,0,0,0,0,0,0,0,0.183819874,0.183819874,0,0,0,0,0.211075237,0,0,0,0.137226523,0,0,0.328963772,0,0
ENTJ,0,0,0.21119397,0,0,0,0.164574409,0.149566263,0,0.183923275,0,0,0.21119397,0,0,0,0,0.164574409,0,0,0,0,0.21119397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117954849,0.164574409,0,0,0,0,0.183923275,0,0.164574409,0,0,0,0,0,0.149566263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183923275,0,0,0.149566263,0,0,0,0,0.21119397,0.126935878,0,0,0,0,0,0,0,0,0,0.21119397,0,0,0,0,0,0,0,0,0,0,0,0,0.183923275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183923275,0.149566263,0,0.137303715,0,0,0,0,0,0,0,0,0,0,0,0,0.164574409,0,0,0,0,0,0,0,0,0,0.164574409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21119397,0,0,0.164574409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183923275,0,0,0,0,0,0,0.21119397,0.21119397,0,0,0,0.183923275,0.183923275,0,0,0,0,0,0,0,0,0,0,0,0,0.21119397,0,0,0,0,0,0,0
ENTP,0,0,0,0,0,0,0,0.125348675,0,0,0,0,0,0.176997699,0.176997699,0,0,0,0,0,0,0,0,0,0,0,0,0.176997699,0,0,0,0,0,0,0,0.176997699,0,0,0,0,0.098855743,0.137926721,0.176997699,0,0,0,0,0,0.137926721,0,0.197711486,0,0,0,0,0,0,0,0,0,0,0.176997699,0,0,0,0,0,0.125348675,0.125348675,0.125348675,0,0,0,0.308285283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176997699,0,0,0,0,0,0,0,0,0,0,0.137926721,0.154142642,0,0,0.154142642,0,0,0,0,0,0,0.176997699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308285283,0,0,0.125348675,0,0.115071664,0,0,0,0,0,0,0,0,0,0,0,0,0.137926721,0,0,0.115071664,0,0,0.137926721,0.176997699,0,0,0.275853441,0,0,0,0,0,0,0.176997699,0,0,0,0,0,0,0,0,0,0,0.154142642,0,0,0,0.137926721,0,0.098855743,0.106382574,0.098855743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137926721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176997699
ESFJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254049091,0,0,0,0,0,0,0.395939137,0,0,0.254049091,0,0,0,0,0.254049091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179915994,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165165151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254049091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221244673,0.221244673,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197969568,0,0,0,0,0,0,0,0.197969568,0.254049091,0,0,0.254049091,0,0,0.221244673,0,0.221244673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165165151,0,0,0,0,0,0,0.15269349,0,0.197969568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179915994,0,0,0,0,0,0
ESFP,0,0,0,0,0.193880716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216675098,0,0,0.248801976,0.248801976,0,0,0,0,0,0.216675098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248801976,0,0,0,0,0,0,0,0,0,0,0.248801976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17620002,0,0,0,0,0,0,0,0,0,0,0.248801976,0,0,0,0,0,0,0.193880716,0.248801976,0,0,0,0,0,0,0.161753839,0,0,0,0,0,0,0,0,0,0,0.193880716,0,0,0,0,0,0,0,0,0,0,0,0.138959457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216675098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17620002,0.193880716,0,0.216675098,0.248801976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161753839,0,0.17620002,0.161753839,0,0,0.193880716,0,0
ESTJ,0,0,0,0,0,0,0.191095226,0.173668548,0,0.21356212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245227429,0.245227429,0.245227429,0,0,0,0,0,0,0,0,0,0.273926044,0.191095226,0,0,0,0,0,0,0,0,0,0,0,0,0.173668548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245227429,0.245227429,0,0.191095226,0,0,0,0,0,0,0,0,0,0.159429916,0,0,0,0,0,0,0,0,0,0,0,0.159429916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245227429,0,0,0,0,0,0,0,0,0,0,0,0.159429916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173668548,0,0,0.191095226,0,0.245227429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159429916,0,0.191095226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147391324,0,0.159429916,0,0,0,0,0,0,0.191095226,0
ESTP,0,0,0,0,0.256908779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287113314,0,0.329684215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233480321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329684215,0,0,0,0,0,0,0,0,0,0,0,0,0.256908779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256908779,0,0,0,0,0,0,0,0,0.184133343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.233480321,0,0,0,0,0,0,0,0,0,0.287113314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256908779,0.287113314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287113314,0,0,0.214337878,0,0,0,0,0,0,0,0
INFJ,0,0.181291077,0,0.232646026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181291077,0.232646026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232646026,0,0.129936129,0,0,0,0,0,0.232646026,0,0,0,0,0,0,0,0,0,0,0,0.202605307,0,0,0,0,0,0.181291077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139829407,0.302500716,0,0,0,0,0.151250358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202605307,0,0,0,0,0,0,0,0,0,0,0,0.181291077,0,0.164758476,0,0,0,0,0,0.181291077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232646026,0,0,0,0,0,0.164758476,0,0,0,0,0,0,0,0,0,0,0.151250358,0,0,0,0.129936129,0.139829407,0.129936129,0,0,0,0,0,0,0,0,0.139829407,0,0,0,0,0,0,0,0,0,0,0,0.164758476,0.164758476,0,0,0,0,0.232646026,0.232646026,0,0,0,0,0,0,0.139829407,0,0,0,0,0,0,0,0,0,0
INFP,0,0.162496619,0,0,0.162496619,0,0,0,0,0,0,0,0,0,0,0.208527597,0.208527597,0,0,0.208527597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116465641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162496619,0.181601201,0,0,0,0,0,0,0,0,0.162496619,0.208527597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181601201,0,0,0,0,0.125333283,0.135570223,0,0,0,0,0,0,0,0,0,0,0.208527597,0,0,0,0,0,0,0,0.162496619,0,0,0,0,0,0,0,0,0,0,0,0,0.181601201,0,0,0,0,0,0,0,0.232931283,0.208527597,0.208527597,0,0,0,0,0,0,0.162496619,0,0,0,0,0,0,0,0.162496619,0,0,0.208527597,0,0,0,0,0.208527597,0,0.208527597,0,0,0,0,0.208527597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135570223,0,0,0,0.232931283,0,0.116465641,0,0,0,0,0,0,0,0,0.125333283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125333283,0,0,0,0,0.135570223,0,0,0,0,0
INTJ,0,0,0,0,0,0.177911272,0,0.125995663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177911272,0,0,0,0.099365987,0,0.099365987,0,0,0.177911272,0,0,0,0,0,0,0.099365987,0.154938249,0,0,0,0,0,0,0,0,0,0,0.13863863,0,0,0,0,0.125995663,0.125995663,0.125995663,0,0.177911272,0.177911272,0.154938249,0.154938249,0,0,0,0,0,0,0,0,0.106931668,0.177911272,0.106931668,0.115665606,0.154938249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13863863,0,0,0,0,0,0,0,0.177911272,0,0,0,0,0,0.154938249,0,0.154938249,0.125995663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13863863,0,0,0.115665606,0,0,0,0,0,0,0.13863863,0.177911272,0.154938249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154938249,0.309876498,0,0.115665606,0,0,0,0.099365987,0.106931668,0.099365987,0,0,0,0.13863863,0,0.154938249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125995663,0.125995663,0,0.154938249,0.154938249,0,0,0,0.177911272,0,0,0,0.154938249,0,0,0,0,0,0,0,0,0,0,0,0
INTP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1157415,0,0.1157415,0,0,0,0,0,0,0,0,0,0.1157415,0.180472071,0,0,0,0,0.180472071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414462097,0.207231048,0,0,0,0.180472071,0,0,0,0,0.124554006,0.134727297,0.180472071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161486274,0,0.180472071,0.161486274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1157415,0,0,0,0,0,0,0,0.146759747,0,0,0,0,0,0,0,0,0,0.207231048,0,0,0,0,0,0,0,0.134727297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180472071,0,0,0.134727297,0,0,0.207231048,0.1157415,0.124554006,0.1157415,0,0,0,0,0.207231048,0,0,0,0,0,0,0,0,0,0.161486274,0.180472071,0,0.207231048,0,0,0.146759747,0.146759747,0,0,0,0,0,0,0,0,0,0,0.180472071,0,0,0,0,0,0,0.134727297,0,0,0,0.161486274,0
ISFJ,0,0,0,0,0,0,0,0,0,0,0.162761643,0,0,0,0,0,0,0,0,0,0.145638997,0,0,0,0,0,0,0,0,0,0,0,0,0.186894658,0,0,0,0.162761643,0.104383336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145638997,0.162761643,0,0,0,0,0,0,0,0,0,0,0,0.373789316,0.186894658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112331036,0,0.224662072,0,0,0,0,0,0.121505982,0,0,0,0.145638997,0,0,0,0,0,0.145638997,0,0.121505982,0,0,0,0.162761643,0,0,0,0,0.186894658,0.186894658,0,0,0,0,0,0.186894658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13235764,0,0,0.162761643,0.162761643,0.186894658,0,0,0,0,0,0,0,0.186894658,0,0,0,0,0,0,0,0,0,0,0,0,0.291277994,0,0,0,0,0,0,0,0.145638997,0,0,0,0,0,0,0,0,0.186894658,0,0,0,0,0,0,0.121505982,0,0,0,0,0,0,0.112331036,0.13235764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112331036,0,0,0,0.13235764,0,0.186894658,0,0,0,0
ISFP,0.209974924,0.163624459,0,0,0,0,0,0,0,0,0.18286164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117273994,0,0,0,0,0,0,0,0,0,0,0,0.117273994,0,0,0,0,0,0,0,0,0.36572328,0,0,0,0,0.18286164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126203183,0,0,0,0,0,0,0,0,0.209974924,0,0,0.163624459,0,0,0.163624459,0.163624459,0,0,0,0,0.36572328,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18286164,0,0,0,0,0.18286164,0,0,0.117273994,0,0,0,0,0,0,0,0,0,0,0,0.209974924,0,0,0,0,0,0,0.209974924,0,0.148702942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209974924,0.18286164,0,0.18286164,0,0.163624459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126203183,0,0,0,0,0,0.163624459,0.18286164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148702942,0,0,0,0,0,0
ISTJ,0,0,0,0,0,0,0.1679708,0,0.215552468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215552468,0.120389132,0,0,0,0,0,0.187718977,0,0,0,0.120389132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1679708,0,0,0,0,0,0,0,0,0,0.280274618,0,0,0,0,0,0,0.1679708,0.1679708,0,0.1679708,0.1679708,0.140137309,0,0,0,0.187718977,0,0,0,0,0,0,0,0,0,0.1679708,0,0,0,0,0,0,0,0,0.120389132,0,0,0,0.215552468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187718977,0,0,0,0.140137309,0,0,0,0,0,0,0,0,0,0,0.1679708,0,0,0,0,0.152652925,0,0,0.1679708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140137309,0.215552468,0.1679708,0,0.187718977,0.215552468,0,0.129555507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129555507,0,0.280274618,0,0,0,0,0,0,0.1679708,0
ISTP,0,0,0,0,0,0,0,0,0,0,0,0.216908676,0,0,0,0,0,0.169027635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216908676,0,0,0,0,0.188900062,0.121146594,0,0.121146594,0,0,0,0,0,0,0,0.169027635,0,0.121146594,0,0,0,0,0,0,0,0,0.188900062,0,0,0,0,0,0,0,0.153613382,0.153613382,0.153613382,0,0,0,0,0,0,0,0,0,0,0,0.169027635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169027635,0,0.141019021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216908676,0,0,0,0.242293187,0,0,0.216908676,0,0,0,0,0,0,0.141019021,0.153613382,0,0,0,0,0,0,0,0,0,0.153613382,0,0,0,0,0,0,0.216908676,0.169027635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169027635,0,0,0,0,0,0,0,0,0.121146594,0.13037064,0.121146594,0,0,0,0,0,0,0,0,0,0,0.169027635,0,0,0,0,0,0.216908676,0,0,0,0,0,0,0,0,0.216908676,0,0,0,0,0,0,0,0.188900062,0.13037064,0,0.141019021,0,0,0.141019021,0,0,0,0,0
